id,texto,sentimiento,categoria,fecha,dia_semana,hora_aproximada,es_fin_de_semana,calificacion,canal,precio_rango,tiempo_desde_compra_dias,tema_principal,longitud_caracteres,num_palabras,tiene_mayusculas_excesivas,num_signos_exclamacion,tiempo_respuesta_horas,fue_respondido,resolucion,prioridad,requiere_atencion_inmediata,confianza_modelo,requiere_revision_humana
4727,Mejor de lo que esperaba. Lo recomiendo ampliamente,Positivo,Aplicación Móvil,2025-07-01,Tuesday,Tarde,False,5,App Móvil,Económico,31,Calidad,51,8,False,0,18.0,True,Resuelto,Baja,False,0.87,False
4728,Muy mala calidad,Negativo,Banco,2024-12-15,Sunday,Mañana,True,1,App Móvil,Económico,56,Calidad,16,3,False,0,,False,N/A,Media,False,0.72,True
4729,El SERVICIO fue malísimo,Negativo,Aplicación Móvil,2024-11-13,Wednesday,Tarde,False,1,App Móvil,Premium,68,Atención,24,4,True,0,105.0,True,No Resuelto,Alta,True,0.9,False
4730,Excelente relación calidad-precio. El mejor servicio que he recibido,Positivo,E-commerce,2024-10-07,Monday,Tarde,False,5,Email,Premium,90,Precio,68,9,False,0,13.0,True,Resuelto,Baja,False,0.96,False
4731,Ni bueno ni malo,Neutro,E-commerce,2025-06-01,Sunday,Mañana,True,3,Web,Premium,33,Calidad,16,4,False,0,,False,N/A,Baja,False,0.65,True
4732,"Muy mal, para nada. Producto de mala calidad",Negativo,Producto,2024-07-24,Wednesday,Noche,False,1,Web,Económico,62,Calidad,44,8,False,0,120.0,True,No Resuelto,Media,False,0.7,True
4733,Producto de calidad excepcional!,Positivo,Restaurante,2025-08-21,Thursday,Tarde,False,5,Tienda Física,Premium,40,Calidad,32,4,False,1,47.0,True,Resuelto,Baja,False,0.92,False
4734,Fantástica atención al cliente,Positivo,Producto,2025-09-10,Wednesday,Noche,False,4,Teléfono,Premium,55,Atención,30,4,False,0,9.0,True,Resuelto,Baja,False,0.92,False
4735,Calidad que vale la pena,Positivo,Banco,2024-11-04,Monday,Tarde,False,5,Web,Medio,10,Calidad,24,5,False,0,40.0,True,Resuelto,Baja,False,0.91,False
4736,Ni más ni menos,Neutro,Hotel,2025-07-12,Saturday,Noche,True,3,Teléfono,Medio,76,Producto Defectuoso,15,4,False,0,,False,N/A,Media,False,0.73,True
4737,Calidad precio inmejorable. Calidad precio inmejorable,Positivo,Soporte Técnico,2024-08-21,Wednesday,Mañana,False,4,Web,Económico,57,Calidad,54,6,False,0,20.0,True,Resuelto,Baja,False,0.97,False
4738,Servicio decente,Neutro,Servicio,2025-07-24,Thursday,Tarde,False,3,Email,Premium,85,Atención,16,2,False,0,2.0,True,N/A,Baja,False,0.77,True
4739,Cumple lo básico,Neutro,Servicio,2025-07-04,Friday,Noche,False,3,App Móvil,Económico,34,Precio,16,3,False,0,,False,N/A,Baja,False,0.86,False
4740,"No funciona bien. Calidad inferior, terrible!",Negativo,Hotel,2024-01-31,Wednesday,Tarde,False,2,Teléfono,Premium,73,Calidad,45,6,False,1,76.0,True,En Proceso,Media,False,0.85,False
4741,Todo salió perfecto,Positivo,Producto,2025-01-11,Saturday,Tarde,True,5,Email,Medio,37,Calidad,19,3,False,0,26.0,True,Resuelto,Baja,False,0.82,False
4742,Producto duradero y de calidad,Positivo,Tienda Online,2025-06-05,Thursday,Tarde,False,5,App Móvil,Premium,25,Calidad,30,5,False,0,16.0,True,N/A,Baja,False,0.86,False
4743,"Todo impecable, gracias",Positivo,Delivery,2024-09-14,Saturday,Noche,True,5,Email,Medio,30,Atención,23,3,False,0,13.0,True,Resuelto,Baja,False,0.78,True
4744,Experiencia memorable,Positivo,Tienda Online,2025-01-10,Friday,Tarde,False,4,Email,Premium,84,Entrega,21,2,False,0,35.0,True,N/A,Baja,False,0.8,False
4745,Servicio estándar. Servicio estándar,Neutro,Producto,2025-09-03,Wednesday,Noche,False,3,Web,Medio,89,Atención,36,4,False,0,52.0,True,N/A,Baja,False,0.66,True
4746,Está bien para ocasional,Neutro,Delivery,2025-02-14,Friday,Noche,False,3,Email,Económico,58,Precio,24,4,False,0,,False,N/A,Baja,False,0.68,True
4747,Mucho peor de lo ESPERADO,Negativo,Hotel,2024-12-17,Tuesday,Tarde,False,1,Email,Medio,63,Producto Defectuoso,25,5,True,0,85.0,True,En Proceso,Alta,True,0.71,True
4748,"Servicio de 10, gracias. La mejor compra que he hecho",Positivo,Tienda Online,2025-06-15,Sunday,Tarde,True,4,Email,Económico,22,Atención,53,10,False,0,41.0,True,Resuelto,Baja,False,0.98,False
4749,Es suficiente,Neutro,Delivery,2025-04-09,Wednesday,Tarde,False,3,Teléfono,Premium,86,Calidad,13,2,False,0,,False,N/A,Baja,False,0.65,True
4750,"MUY mal, para nada!!",Negativo,Banco,2025-06-20,Friday,Tarde,False,1,Chat,Medio,6,Calidad,20,4,False,2,45.0,True,En Proceso,Alta,True,0.88,False
4751,Muy satisfecho con mi compra,Positivo,Restaurante,2024-10-12,Saturday,Noche,True,4,Chat,Medio,77,Entrega,28,5,False,0,46.0,True,N/A,Baja,False,0.97,False
4752,El servicio fue malísimo. Producto mediocre y caro,Negativo,Tienda Online,2024-06-14,Friday,Mañana,False,2,Tienda Física,Premium,35,Precio,50,8,False,0,102.0,True,En Proceso,Media,False,0.7,True
4753,La calidad es excepcional,Positivo,Restaurante,2025-08-22,Friday,Tarde,False,5,Tienda Física,Económico,21,Calidad,25,4,False,0,28.0,True,Resuelto,Baja,False,0.94,False
4754,"Muy insatisfecho, no volveré!",Negativo,Banco,2024-08-30,Friday,Tarde,False,2,App Móvil,Económico,91,Precio,29,4,False,1,112.0,True,No Resuelto,Media,False,0.85,False
4755,"Está bien, pero podría mejorar",Neutro,Restaurante,2024-04-03,Wednesday,Noche,False,3,App Móvil,Medio,34,Producto Defectuoso,30,5,False,0,34.0,True,N/A,Media,False,0.66,True
4756,Nunca llegó mi pedido. Pésima calidad general!,Negativo,Producto,2024-02-10,Saturday,Mañana,True,1,Chat,Económico,70,Entrega,46,7,False,1,4.0,True,En Proceso,Alta,True,0.93,False
4757,Servicio normal,Neutro,Restaurante,2025-10-28,Tuesday,Noche,False,3,Tienda Física,Medio,67,Atención,15,2,False,0,54.0,True,N/A,Baja,False,0.71,True
4758,Muy profesionales y atentos,Positivo,Tienda Online,2025-11-12,Wednesday,Noche,False,4,App Móvil,Premium,59,Atención,27,4,False,0,,False,N/A,Baja,False,0.98,False
4759,Totalmente satisfecho,Positivo,Banco,2025-07-25,Friday,Noche,False,4,App Móvil,Medio,43,Calidad,21,2,False,0,9.0,True,Resuelto,Baja,False,0.91,False
4760,Servicio regular,Neutro,Restaurante,2024-08-10,Saturday,Tarde,True,3,Email,Medio,32,Atención,16,2,False,0,17.0,True,N/A,Baja,False,0.85,False
4761,Producto correcto,Neutro,Producto,2024-07-30,Tuesday,Noche,False,3,Email,Premium,72,Atención,17,2,False,0,72.0,True,N/A,Baja,False,0.62,True
4762,Totalmente satisfecho,Positivo,Tienda Online,2024-09-03,Tuesday,Tarde,False,4,Email,Medio,13,Producto Defectuoso,21,2,False,0,,False,N/A,Baja,False,0.93,False
4763,Cumple lo básico,Neutro,Hotel,2025-12-21,Sunday,Noche,True,3,App Móvil,Económico,68,Entrega,16,3,False,0,,False,N/A,Media,False,0.61,True
4764,Todo fue excelente,Positivo,Banco,2025-08-17,Sunday,Noche,True,5,Email,Medio,37,Calidad,18,3,False,0,23.0,True,N/A,Baja,False,0.8,False
4765,"Excelente relación calidad-precio. Totalmente recomendable, 5 estrellas",Positivo,Hotel,2025-06-23,Monday,Mañana,False,4,Chat,Medio,28,Calidad,71,7,False,0,41.0,True,N/A,Baja,False,0.81,False
4766,Producto inservible. EXPERIENCIA frustrante!,Negativo,Tienda Online,2024-08-02,Friday,Noche,False,2,Web,Medio,40,Precio,44,4,False,1,,False,N/A,Media,False,0.94,False
4767,"Producto genial, lo adoro",Positivo,Delivery,2024-10-05,Saturday,Noche,True,4,App Móvil,Económico,22,Calidad,25,4,False,0,28.0,True,N/A,Baja,False,0.92,False
4768,Es lo normal,Neutro,Hotel,2025-06-14,Saturday,Tarde,True,3,Chat,Económico,19,Precio,12,3,False,0,,False,N/A,Baja,False,0.9,False
4769,Servicio inaceptable!,Negativo,Servicio,2025-02-11,Tuesday,Noche,False,1,Email,Premium,43,Atención,21,2,False,1,72.0,True,En Proceso,Media,False,0.79,True
4770,DESASTRE total. No es como se describe,Negativo,Producto,2024-09-17,Tuesday,Noche,False,2,Teléfono,Medio,75,Calidad,38,7,False,0,,False,N/A,Media,False,0.78,True
4771,Pésima atención al cliente. Nada profesionales!,Negativo,Restaurante,2024-05-26,Sunday,Mañana,True,2,App Móvil,Premium,72,Atención,47,6,False,1,,False,N/A,Media,False,0.72,True
4772,"Definitivamente volveré a comprar. Fantástico producto, lo amo",Positivo,Delivery,2024-03-09,Saturday,Tarde,True,5,Chat,Premium,9,Calidad,62,8,False,0,43.0,True,Resuelto,Baja,False,0.91,False
4773,Está bien para ocasional,Neutro,Banco,2025-07-16,Wednesday,Tarde,False,3,Chat,Medio,61,Calidad,24,4,False,0,,False,N/A,Baja,False,0.63,True
4774,"Producto de baja calidad. Producto terrible, una estafa!",Negativo,Servicio,2024-01-13,Saturday,Noche,True,2,Teléfono,Económico,49,Calidad,56,8,False,1,5.0,True,En Proceso,Media,False,0.75,True
4775,No puedo estar más feliz,Positivo,Restaurante,2024-11-19,Tuesday,Mañana,False,4,App Móvil,Premium,35,Precio,24,5,False,0,,False,N/A,Baja,False,0.95,False
4776,Definitivamente volveré a comprar,Positivo,Soporte Técnico,2024-02-04,Sunday,Noche,True,5,Chat,Económico,56,Producto Defectuoso,33,4,False,0,32.0,True,N/A,Baja,False,0.81,False
4777,Servicio pasable,Neutro,Restaurante,2024-04-24,Wednesday,Noche,False,3,Email,Premium,73,Atención,16,2,False,0,,False,N/A,Baja,False,0.85,False
4778,"Excelente servicio, muy recomendado",Positivo,Servicio,2025-11-01,Saturday,Noche,True,5,Teléfono,Medio,29,Atención,35,4,False,0,,False,N/A,Baja,False,0.81,False
4779,Es un producto normal,Neutro,Tienda Online,2025-01-07,Tuesday,Tarde,False,3,Tienda Física,Premium,40,Producto Defectuoso,21,4,False,0,59.0,True,N/A,Media,False,0.64,True
4780,Servicio rápido y eficiente. Excelente relación calidad-precio!,Positivo,Hotel,2024-03-15,Friday,Mañana,False,4,Chat,Económico,56,Calidad,63,7,False,1,4.0,True,N/A,Baja,False,0.89,False
4781,Quedé impresionado positivamente!,Positivo,E-commerce,2025-10-03,Friday,Mañana,False,5,Email,Económico,68,Entrega,33,3,False,1,21.0,True,Resuelto,Baja,False,0.82,False
4782,El servicio fue malísimo. Quiero mi reembolso inmediatamente,Negativo,Tienda Online,2025-08-12,Tuesday,Noche,False,1,App Móvil,Económico,53,Atención,60,8,False,0,78.0,True,No Resuelto,Media,False,0.79,True
4783,"Muy recomendable, sin dudas. Increíblemente bueno",Positivo,Hotel,2024-09-28,Saturday,Mañana,True,5,App Móvil,Premium,10,Entrega,49,6,False,0,4.0,True,N/A,Baja,False,0.96,False
4784,Es lo normal,Neutro,Servicio,2024-06-13,Thursday,Tarde,False,3,Chat,Premium,86,Atención,12,3,False,0,38.0,True,N/A,Baja,False,0.89,False
4785,Servicio excepcional!,Positivo,Banco,2025-03-28,Friday,Tarde,False,4,Email,Medio,57,Atención,21,2,False,1,16.0,True,Resuelto,Baja,False,0.78,True
4786,No volvería a comprar nunca. Llegó roto y mal empaquetado!,Negativo,Servicio,2024-07-23,Tuesday,Mañana,False,2,Chat,Premium,44,Producto Defectuoso,58,10,False,1,,False,N/A,Alta,True,0.83,False
4787,"Espectacular, sin quejas. Gran experiencia de principio a fin",Positivo,Delivery,2024-04-07,Sunday,Tarde,True,4,Teléfono,Económico,84,Atención,61,9,False,0,,False,N/A,Baja,False,0.86,False
4788,Es lo que es,Neutro,Soporte Técnico,2024-07-06,Saturday,Tarde,True,3,App Móvil,Premium,22,Atención,12,4,False,0,,False,N/A,Baja,False,0.81,False
4789,Nada especial pero funciona,Neutro,Soporte Técnico,2024-05-14,Tuesday,Tarde,False,3,Chat,Medio,62,Calidad,27,4,False,0,56.0,True,Resuelto,Baja,False,0.79,True
4790,Producto correcto,Neutro,Servicio,2025-11-11,Tuesday,Noche,False,3,App Móvil,Medio,47,Precio,17,2,False,0,12.0,True,Resuelto,Baja,False,0.75,True
4791,Ni más ni menos,Neutro,Restaurante,2025-02-15,Saturday,Tarde,True,3,Teléfono,Premium,61,Precio,15,4,False,0,,False,N/A,Baja,False,0.83,False
4792,Cumple sin destacar. Es suficiente,Neutro,Servicio,2024-08-25,Sunday,Noche,True,3,App Móvil,Premium,86,Entrega,34,5,False,0,35.0,True,N/A,Media,False,0.87,False
4793,Es lo normal,Neutro,Tienda Online,2024-05-21,Tuesday,Noche,False,3,Teléfono,Premium,45,Entrega,12,3,False,0,,False,N/A,Media,False,0.67,True
4794,Calidad que vale la pena,Positivo,Servicio,2025-01-20,Monday,Noche,False,5,Teléfono,Económico,47,Precio,24,5,False,0,25.0,True,Resuelto,Baja,False,0.92,False
4795,Servicio pasable,Neutro,Aplicación Móvil,2024-07-28,Sunday,Noche,True,3,Email,Medio,44,Atención,16,2,False,0,,False,N/A,Baja,False,0.75,True
4796,"Producto de baja calidad. Producto terrible, una estafa!",Negativo,Delivery,2025-08-06,Wednesday,Noche,False,2,Teléfono,Premium,21,Calidad,56,8,False,1,104.0,True,No Resuelto,Media,False,0.86,False
4797,Servicio inmejorable,Positivo,Tienda Online,2025-08-02,Saturday,Tarde,True,5,App Móvil,Medio,57,Atención,20,2,False,0,,False,N/A,Baja,False,0.93,False
4798,Producto de calidad excepcional,Positivo,Restaurante,2025-09-14,Sunday,Noche,True,5,Web,Premium,9,Calidad,31,4,False,0,,False,N/A,Baja,False,0.76,True
4799,Muy decepcionado CON la compra!,Negativo,Servicio,2025-12-13,Saturday,Tarde,True,1,App Móvil,Económico,50,Producto Defectuoso,31,5,False,1,99.0,True,No Resuelto,Alta,True,0.89,False
4800,Maravillosa experiencia!,Positivo,Banco,2024-04-06,Saturday,Noche,True,4,App Móvil,Premium,90,Entrega,24,2,False,1,27.0,True,Resuelto,Baja,False,0.86,False
4801,"Superó todas mis expectativas. Producto excelente, justo lo que buscaba",Positivo,Producto,2025-12-04,Thursday,Tarde,False,4,App Móvil,Medio,51,Producto Defectuoso,71,10,False,0,6.0,True,N/A,Baja,False,0.81,False
4802,No lo recomendaría jamás. Quiero mi reembolso inmediatamente,Negativo,E-commerce,2024-06-15,Saturday,Noche,True,1,Tienda Física,Medio,96,Atención,60,8,False,0,,False,N/A,Media,False,0.75,True
4803,Nada especial,Neutro,Hotel,2024-10-01,Tuesday,Noche,False,3,Teléfono,Premium,66,Entrega,13,2,False,0,,False,N/A,Media,False,0.63,True
4804,Calidad precio inmejorable,Positivo,Delivery,2024-02-23,Friday,Noche,False,4,Teléfono,Medio,83,Calidad,26,3,False,0,22.0,True,Resuelto,Baja,False,0.85,False
4805,"La atención al cliente fue maravillosa. Me gustó mucho, es justo lo que necesitaba",Positivo,Producto,2025-10-13,Monday,Tarde,False,4,App Móvil,Medio,46,Atención,82,14,False,0,36.0,True,N/A,Baja,False,0.79,True
4806,Está bien para ocasional,Neutro,Banco,2025-09-26,Friday,Tarde,False,3,Web,Medio,35,Calidad,24,4,False,0,,False,N/A,Baja,False,0.82,False
4807,Quiero mi reembolso inmediatamente. No es como se describe,Negativo,Producto,2024-07-30,Tuesday,Noche,False,1,App Móvil,Medio,108,Calidad,58,9,False,0,42.0,True,Resuelto,Media,False,0.94,False
4808,Increíble calidad por el precio,Positivo,Aplicación Móvil,2024-03-09,Saturday,Mañana,True,5,Chat,Premium,44,Calidad,31,5,False,0,42.0,True,N/A,Baja,False,0.88,False
4809,Atención de primera clase. Entrega rápida y producto impecable,Positivo,Hotel,2025-10-04,Saturday,Noche,True,4,App Móvil,Medio,11,Atención,62,9,False,0,,False,N/A,Baja,False,0.99,False
4810,Nada profesionales!,Negativo,Banco,2025-06-15,Sunday,Noche,True,1,App Móvil,Premium,108,Atención,19,2,False,1,86.0,True,No Resuelto,Media,False,0.87,False
4811,Pésima calidad general. Atención lenta y mala,Negativo,Hotel,2025-08-18,Monday,Mañana,False,1,Email,Premium,75,Calidad,45,7,False,0,,False,N/A,Media,False,0.91,False
4812,Una pérdida de dinero. Producto horrible!,Negativo,Delivery,2025-05-30,Friday,Mañana,False,1,App Móvil,Medio,46,Entrega,41,6,False,1,97.0,True,No Resuelto,Alta,True,0.94,False
4813,Experiencia memorable,Positivo,Restaurante,2024-11-12,Tuesday,Mañana,False,5,Tienda Física,Económico,10,Calidad,21,2,False,0,,False,N/A,Baja,False,0.9,False
4814,Es un producto promedio,Neutro,Aplicación Móvil,2025-07-20,Sunday,Noche,True,3,Web,Económico,13,Precio,23,4,False,0,50.0,True,N/A,Baja,False,0.81,False
4815,"Está bien, sin sorpresas. Está bien para ocasional",Neutro,Restaurante,2025-10-28,Tuesday,Tarde,False,3,Tienda Física,Económico,81,Precio,50,8,False,0,,False,N/A,Baja,False,0.69,True
4816,Calidad precio inmejorable. Experiencia memorable,Positivo,Aplicación Móvil,2025-08-26,Tuesday,Noche,False,4,Web,Premium,44,Calidad,49,5,False,0,40.0,True,N/A,Baja,False,0.97,False
4817,Está ok,Neutro,Delivery,2024-07-15,Monday,Noche,False,3,Web,Medio,31,Producto Defectuoso,7,2,False,0,27.0,True,N/A,Media,False,0.75,True
4818,Brillante servicio!,Positivo,Restaurante,2025-09-13,Saturday,Mañana,True,5,Web,Medio,82,Atención,19,2,False,1,2.0,True,N/A,Baja,False,0.78,True
4819,Entrega rápida y producto impecable,Positivo,Aplicación Móvil,2024-03-12,Tuesday,Tarde,False,4,Web,Económico,40,Entrega,35,5,False,0,4.0,True,N/A,Baja,False,0.91,False
4820,Servicio pésimo e ineficiente,Negativo,Hotel,2025-01-06,Monday,Tarde,False,1,App Móvil,Medio,46,Atención,29,4,False,0,107.0,True,En Proceso,Media,False,0.78,True
4821,"Espectacular, sin quejas",Positivo,Servicio,2025-01-04,Saturday,Noche,True,4,App Móvil,Económico,25,Precio,24,3,False,0,42.0,True,Resuelto,Baja,False,0.8,False
4822,Correcto para lo que cuesta,Neutro,Tienda Online,2025-07-18,Friday,Noche,False,3,Web,Económico,39,Precio,27,5,False,0,23.0,True,N/A,Baja,False,0.86,False
4823,"Calidad superior, me encantó",Positivo,Producto,2024-02-16,Friday,Tarde,False,4,Chat,Medio,5,Calidad,28,4,False,0,29.0,True,N/A,Baja,False,0.93,False
4824,No está mal. Está bien para el día a día,Neutro,Delivery,2025-06-29,Sunday,Noche,True,3,Email,Premium,24,Precio,40,10,False,0,7.0,True,N/A,Baja,False,0.8,False
4825,Quedé muy satisfecho con todo. Absolutamente perfecto!,Positivo,Restaurante,2024-07-03,Wednesday,Noche,False,5,Tienda Física,Económico,62,Producto Defectuoso,54,7,False,1,,False,N/A,Baja,False,0.84,False
4826,Muy decepcionado con la compra,Negativo,Aplicación Móvil,2024-05-30,Thursday,Noche,False,1,Teléfono,Económico,109,Atención,30,5,False,0,,False,N/A,Media,False,0.85,False
4827,Producto de mala calidad,Negativo,Producto,2024-07-06,Saturday,Noche,True,1,App Móvil,Económico,16,Calidad,24,4,False,0,108.0,True,En Proceso,Media,False,0.91,False
4828,ATENCIÓN horrible. Nada profesionales,Negativo,Servicio,2024-10-04,Friday,Noche,False,1,Teléfono,Premium,40,Atención,37,4,False,0,31.0,True,No Resuelto,Media,False,0.98,False
4829,"Fantástico producto, lo amo. Fantástico producto, lo amo!",Positivo,Servicio,2025-12-21,Sunday,Mañana,True,4,App Móvil,Medio,4,Entrega,57,8,False,1,45.0,True,Resuelto,Baja,False,0.76,True
4830,Cumple su cometido,Neutro,E-commerce,2025-10-12,Sunday,Mañana,True,3,Chat,Medio,44,Precio,18,3,False,0,45.0,True,N/A,Baja,False,0.76,True
4831,NEFASTO servicio. Totalmente insatisfecho!,Negativo,Hotel,2024-04-15,Monday,Tarde,False,2,Chat,Medio,53,Atención,42,4,False,1,111.0,True,No Resuelto,Media,False,0.96,False
4832,No sirve para nada!,Negativo,Producto,2024-05-08,Wednesday,Noche,False,1,Teléfono,Premium,100,Producto Defectuoso,19,4,False,1,,False,N/A,Alta,True,0.98,False
4833,"Producto magnífico. Excelente compra, totalmente recomendado",Positivo,E-commerce,2024-08-06,Tuesday,Mañana,False,4,Web,Medio,53,Precio,60,6,False,0,3.0,True,N/A,Baja,False,0.81,False
4834,Calidad precio inmejorable,Positivo,Servicio,2024-11-20,Wednesday,Noche,False,5,Email,Medio,85,Calidad,26,3,False,0,,False,N/A,Baja,False,0.88,False
4835,No volvería a comprar nunca. Llegó en malas condiciones!,Negativo,Soporte Técnico,2024-11-13,Wednesday,Noche,False,1,Email,Premium,104,Entrega,56,9,False,1,74.0,True,En Proceso,Alta,True,0.77,True
4836,Es suficiente. Es como cualquier otro,Neutro,Soporte Técnico,2025-05-14,Wednesday,Noche,False,3,Web,Medio,28,Calidad,37,6,False,0,,False,N/A,Baja,False,0.86,False
4837,Desastre total. Una pérdida de dinero!,Negativo,Hotel,2024-10-12,Saturday,Mañana,True,1,Email,Económico,79,Producto Defectuoso,38,6,False,1,111.0,True,No Resuelto,Alta,True,0.87,False
4838,Está ok. Cumple lo básico,Neutro,Delivery,2024-04-15,Monday,Tarde,False,3,Teléfono,Económico,70,Producto Defectuoso,25,5,False,0,,False,N/A,Media,False,0.67,True
4839,Calidad precio inmejorable!,Positivo,Banco,2025-07-24,Thursday,Noche,False,5,App Móvil,Premium,6,Calidad,27,3,False,1,,False,N/A,Baja,False,0.94,False
4840,"Atención personalizada, me encantó",Positivo,Servicio,2024-10-18,Friday,Noche,False,4,Chat,Económico,15,Atención,34,4,False,0,,False,N/A,Baja,False,0.76,True
4841,Es un producto normal,Neutro,Soporte Técnico,2024-11-24,Sunday,Tarde,True,3,Email,Medio,39,Producto Defectuoso,21,4,False,0,50.0,True,N/A,Media,False,0.62,True
4842,"Producto de calidad excepcional. Excelente servicio, muy recomendado",Positivo,Restaurante,2024-12-12,Thursday,Noche,False,5,Tienda Física,Premium,51,Calidad,68,8,False,0,10.0,True,Resuelto,Baja,False,0.91,False
4843,Servicio deficiente,Negativo,Hotel,2025-04-22,Tuesday,Tarde,False,1,Web,Medio,94,Atención,19,2,False,0,,False,N/A,Media,False,0.9,False
4844,"Está bien, pero podría mejorar",Neutro,Delivery,2025-03-17,Monday,Mañana,False,3,Web,Medio,69,Entrega,30,5,False,0,,False,N/A,Media,False,0.66,True
4845,Muy mala calidad,Negativo,Hotel,2024-07-18,Thursday,Tarde,False,1,Chat,Medio,90,Calidad,16,3,False,0,103.0,True,En Proceso,Media,False,0.97,False
4846,"Excelente compra, totalmente recomendado",Positivo,Banco,2024-03-03,Sunday,Noche,True,4,Email,Económico,69,Calidad,40,4,False,0,38.0,True,Resuelto,Baja,False,0.97,False
4847,Servicio estándar. Es como cualquier otro,Neutro,Servicio,2025-12-04,Thursday,Noche,False,3,Tienda Física,Medio,34,Atención,41,6,False,0,43.0,True,N/A,Baja,False,0.61,True
4848,Está bien para el precio,Neutro,Aplicación Móvil,2024-07-16,Tuesday,Noche,False,3,Chat,Medio,32,Precio,24,5,False,0,,False,N/A,Baja,False,0.68,True
4849,Está bien para ocasional,Neutro,Banco,2024-12-01,Sunday,Tarde,True,3,Chat,Económico,31,Producto Defectuoso,24,4,False,0,1.0,True,Resuelto,Media,False,0.8,False
4850,Me fascina este producto. Muy satisfecho con mi compra,Positivo,Servicio,2025-07-05,Saturday,Tarde,True,4,Teléfono,Económico,82,Precio,54,9,False,0,25.0,True,Resuelto,Baja,False,0.91,False
4851,"Increíblemente bueno. Producto excelente, justo lo que buscaba",Positivo,Restaurante,2025-02-11,Tuesday,Noche,False,5,Web,Medio,50,Entrega,62,8,False,0,45.0,True,N/A,Baja,False,0.93,False
4852,Producto básico pero funcional,Neutro,Banco,2024-12-08,Sunday,Noche,True,3,Email,Económico,41,Calidad,30,4,False,0,,False,N/A,Baja,False,0.84,False
4853,Es un producto normal,Neutro,Servicio,2025-06-02,Monday,Mañana,False,3,Tienda Física,Medio,85,Calidad,21,4,False,0,9.0,True,Resuelto,Baja,False,0.88,False
4854,Atención rápida y efectiva,Positivo,Servicio,2024-09-18,Wednesday,Mañana,False,5,Chat,Económico,35,Atención,26,4,False,0,7.0,True,Resuelto,Baja,False,0.81,False
4855,Está ok,Neutro,Tienda Online,2025-02-02,Sunday,Noche,True,3,Tienda Física,Medio,53,Calidad,7,2,False,0,9.0,True,N/A,Baja,False,0.63,True
4856,"Es normal, nada extraordinario",Neutro,Producto,2024-02-02,Friday,Tarde,False,3,Web,Económico,82,Producto Defectuoso,30,4,False,0,,False,N/A,Media,False,0.71,True
4857,Estoy muy contento con el resultado,Positivo,Hotel,2025-03-05,Wednesday,Noche,False,5,Email,Medio,52,Entrega,35,6,False,0,26.0,True,Resuelto,Baja,False,0.95,False
4858,No es como se describe,Negativo,Restaurante,2024-10-15,Tuesday,Tarde,False,1,Web,Económico,26,Atención,22,5,False,0,,False,N/A,Media,False,0.71,True
4859,Estoy muy contento con el resultado,Positivo,E-commerce,2024-10-05,Saturday,Noche,True,5,Chat,Económico,10,Atención,35,6,False,0,,False,N/A,Baja,False,0.94,False
4860,Ideal para lo que necesitaba,Positivo,Producto,2025-04-25,Friday,Noche,False,4,Tienda Física,Medio,31,Producto Defectuoso,28,5,False,0,46.0,True,N/A,Baja,False,0.9,False
4861,Superó todas mis expectativas. Producto duradero y de calidad,Positivo,Aplicación Móvil,2024-06-22,Saturday,Mañana,True,4,Web,Económico,8,Calidad,61,9,False,0,11.0,True,Resuelto,Baja,False,0.89,False
4862,"Calidad superior, me encantó",Positivo,Restaurante,2024-08-15,Thursday,Tarde,False,4,Teléfono,Medio,32,Calidad,28,4,False,0,42.0,True,Resuelto,Baja,False,0.89,False
4863,El personal fue muy grosero,Negativo,Banco,2025-04-24,Thursday,Noche,False,1,Chat,Medio,61,Atención,27,5,False,0,,False,N/A,Media,False,0.75,True
4864,Está bien para el precio,Neutro,Aplicación Móvil,2025-07-19,Saturday,Noche,True,3,App Móvil,Medio,84,Precio,24,5,False,0,57.0,True,N/A,Baja,False,0.85,False
4865,Está bien para el precio,Neutro,Tienda Online,2025-12-18,Thursday,Noche,False,3,Tienda Física,Medio,40,Precio,24,5,False,0,4.0,True,N/A,Baja,False,0.7,True
4866,Producto sobresaliente,Positivo,Hotel,2025-07-19,Saturday,Mañana,True,5,Email,Premium,47,Entrega,22,2,False,0,27.0,True,Resuelto,Baja,False,0.92,False
4867,Mucho peor de lo esperado,Negativo,Soporte Técnico,2025-02-23,Sunday,Noche,True,1,Email,Económico,77,Producto Defectuoso,25,5,False,0,13.0,True,Resuelto,Alta,True,0.84,False
4868,Cumple su función,Neutro,Banco,2024-07-15,Monday,Tarde,False,3,Chat,Premium,67,Calidad,17,3,False,0,29.0,True,Resuelto,Baja,False,0.81,False
4869,Servicio rápido y eficiente,Positivo,Aplicación Móvil,2024-06-10,Monday,Noche,False,4,Chat,Económico,54,Entrega,27,4,False,0,,False,N/A,Baja,False,0.91,False
4870,El producto vino INCOMPLETO!!,Negativo,Servicio,2025-06-17,Tuesday,Tarde,False,1,App Móvil,Económico,103,Producto Defectuoso,29,4,True,2,112.0,True,En Proceso,Alta,True,0.92,False
4871,No funciona bien. Me ARREPIENTO de haber comprado!,Negativo,Delivery,2025-08-06,Wednesday,Noche,False,1,Web,Económico,4,Producto Defectuoso,50,8,False,1,96.0,True,En Proceso,Alta,True,0.93,False
